City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Pangody,RU,66.2,scattered clouds,65.85,74.4859,Elizaveta Shevchuk's House
251,Abalak,RU,68.5,clear sky,58.1286,68.5944,Туристический комплекс Абалак
252,Abasolo,MX,57.54,overcast clouds,20.45,-101.5167,Hotel y Parque Acuático La Caldera
254,Sao Jose Da Coroa Grande,BR,74.21,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
256,Roma,US,71.96,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
257,Wakkanai,JP,73.38,few clouds,45.4094,141.6739,Hyōsetsu-sō
259,Lima,PE,59.9,mist,-12.0432,-77.0282,Hotel Kamana
260,Chiredzi,ZW,63.84,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
261,Solton,RU,56.93,overcast clouds,52.8429,86.4787,
262,Maxixe,MZ,66.81,clear sky,-23.8597,35.3472,Oceano
263,Yetkul,RU,68.05,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
267,Husavik,IS,50.9,overcast clouds,66.0449,-17.3389,Bjarnabúð
268,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
271,Sidi Ali,DZ,73.49,clear sky,36.0998,0.4206,Complexe touristique haje bezine
272,Solnechnyy,RU,56.41,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
273,Sayyan,YE,63.93,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
277,Port Macquarie,AU,60.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
278,Hobyo,SO,74.64,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
279,Bathurst,AU,54.82,clear sky,-33.4166,149.5806,Bathurst Motor Inn
280,Yavatmal,IN,71.65,overcast clouds,20.4,78.1333,Palash Inn
281,Svetlyy,RU,59.05,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
282,Tabou,CI,74.17,overcast clouds,4.423,-7.3528,hotêl doufoulougou
285,Chapada Dos Guimaraes,BR,62.26,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
287,Port-Gentil,GA,74.07,overcast clouds,-0.7193,8.7815,Fengshui Residence
288,Sosnovka,RU,64.44,moderate rain,56.255,51.2842,
296,Bulgan,MN,69.58,overcast clouds,48.8125,103.5347,Unitel Булган салбар
297,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
299,Jijiga,ET,59.34,overcast clouds,9.35,42.8,RAMAAS HOTEL
301,Simao,CN,70.74,light rain,22.7886,100.9748,Changyu Hotel
303,Pontes E Lacerda,BR,68.65,clear sky,-15.2261,-59.3353,Hotel Bressan
304,Guiratinga,BR,66.87,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
308,Petropavlivka,UA,55.9,clear sky,48.4564,36.4367,Банька в Петропавловке
312,Baykit,RU,58.14,light rain,61.67,96.37,
317,Mollendo,PE,60.13,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
318,Wawa,NG,71.08,overcast clouds,9.9022,4.4192,
319,Kumla,SE,62.01,overcast clouds,59.1277,15.1434,Kumla Hotel
322,Muisne,EC,73.62,overcast clouds,0.6,-80.0333,Quinta Samay
